Case,Facility,Job_title,Gender,Age,Years_in_post,Unit,Other_unit,HighestLevel_of_education,Highest_level_of_education_other,Times_trained_on_EmONC,Duration_between_EmONC_Training_in_months,PTI1,PTI2,PTI3,PTI4,PTI5,PTI6,PTI7,PTI8,PTI9,PTI10,PTI11,PTI12,PTI13,PTI14,PTI15,PTI16,PTI17,PTI18,PTI19,PTI20,PTI21,PTI22,PTI23,PTI24,PTI25,PTI26,PTI27,PTI28,PTI29,PTI30,PTI31,PTI32,PTI33,PTI34,PTI35,PTI36,PTI37,Specific_training_needs,Other_training_needs,PTP1,PTP2,PTP3,PTP4,PTP5,PTP6,PTP7,PTP8,PTP9,PTP10,PTP11,PTP12,PTP13,PTP14,PTP15,PTP16,PTP17,PTP18,PTP19,PTP20,PTP21,PTP22,PTP23,PTP24,PTP25,PTP26,PTP27,PTP28,PTP29,PTP30,PTP31,PTP32,PTP33,PTP34,PTP35,PTP36,PTP37,Respondents_Age,Job_experience,Last_trained_on_EmONC,Previous_training_times
1,1,1,2,45,20,5,5,2,1,0,0,7,7,5,5,6,6,5,6,5,6,7,7,7,7,7,6,5,6,5,6,5,7,5,5,5,7,6,7,7,7,7,7,7,7,7,7,7,3,3,7,6,4,5,6,6,3,7,5,4,7,7,7,7,7,6,4,7,6,6,2,6,3,7,6,4,5,5,6,5,6,5,4,5,3,4,5,5,5,1,1
2,1,1,2,35,8,5,6,1,1,0,0,7,6,5,6,6,6,5,7,6,7,6,6,7,7,6,7,5,6,7,7,6,6,6,5,5,7,7,6,6,6,7,6,7,7,7,7,6,1,1,5,6,3,4,5,4,4,6,4,4,6,6,6,7,7,7,6,6,3,5,2,4,6,4,5,5,5,5,6,6,6,4,3,5,4,4,4,3,3,1,1
3,1,1,2,32,6,1,1,2,1,4,12,6,7,7,7,6,7,6,7,7,6,7,6,5,6,6,6,7,6,7,7,7,7,6,6,6,7,7,7,7,6,5,6,7,6,7,7,7,1,9,4,7,3,4,6,4,3,5,4,2,6,6,5,5,4,6,4,3,5,7,3,5,3,6,3,3,4,6,5,6,4,3,3,4,4,5,4,2,2,2,5
4,1,1,1,35,10,5,7,2,1,1,1200,6,7,6,7,7,7,7,7,6,5,6,7,7,6,5,6,6,6,7,6,6,7,6,7,7,6,7,7,7,6,7,6,6,7,7,7,6,1,1,5,6,4,4,3,5,3,5,5,2,5,6,6,7,7,6,4,5,6,5,3,6,2,5,4,3,5,5,5,6,5,3,5,6,5,6,4,3,3,6,2
5,1,1,1,37,7,5,6,2,1,1,60,6,5,5,5,6,7,5,6,5,5,6,7,5,6,6,5,5,7,5,6,6,7,6,6,7,6,4,5,5,6,6,7,7,7,6,7,7,1,1,4,5,2,5,5,7,4,5,6,3,5,6,5,6,5,5,5,5,5,5,4,5,7,3,3,4,6,5,5,5,5,3,4,4,4,6,6,3,2,6,2
6,1,1,2,32,8,5,6,2,1,2,48,7,6,5,6,6,7,6,5,7,5,7,6,7,7,6,7,6,7,6,5,5,5,6,6,6,6,5,7,7,6,7,7,7,7,7,7,6,1,1,5,6,4,5,4,5,4,5,5,7,6,5,6,6,5,5,6,6,6,5,3,3,2,3,3,5,6,4,3,6,6,4,3,5,5,3,5,2,2,5,3
7,1,3,2,50,26,4,4,5,1,0,0,6,6,3,5,6,5,5,5,7,6,6,7,7,7,5,7,5,7,6,7,4,7,7,5,6,7,7,7,7,7,7,5,7,7,7,7,7,1,1,7,6,6,5,4,6,7,7,6,4,7,5,7,7,7,5,4,6,6,7,7,5,4,6,6,4,5,4,5,5,6,4,5,4,4,4,5,6,5,1,1
8,1,1,2,38,14,3,3,2,1,1,84,6,7,6,5,5,7,5,7,6,5,5,7,7,6,6,6,6,7,6,7,6,6,7,6,5,7,7,7,7,7,7,6,7,7,7,7,7,1,8,4,5,5,4,6,6,2,4,6,4,5,5,5,7,7,5,4,6,5,6,1,4,3,6,4,3,5,6,4,3,4,2,4,4,3,4,4,3,3,6,2
9,1,1,2,28,2,5,5,2,1,1,36,6,3,3,4,5,5,6,6,5,6,6,6,6,6,5,6,4,5,7,5,7,4,6,5,6,6,5,7,6,5,6,5,6,7,6,6,6,1,1,4,3,4,6,4,7,3,6,4,1,6,6,6,6,5,5,6,5,6,6,1,3,7,4,4,5,6,5,3,4,6,3,5,4,4,6,6,1,1,4,2
10,1,1,2,30,7,3,3,2,1,3,15,5,6,6,6,7,6,7,7,6,5,7,7,7,7,7,6,6,7,5,7,7,7,7,4,6,7,6,6,6,7,7,5,7,7,7,7,7,2,10,4,5,4,5,5,6,2,6,5,4,4,5,6,5,5,6,5,6,5,4,2,3,3,3,5,5,6,5,4,4,7,4,3,4,5,4,5,2,2,2,4
